"Unicode","Decimal","Name","Keyboard","Mapping a",
"uni0020"," 32"," space","  ","  ",
"uni0041"," 65"," A"," A"," 0001",
"uni0042"," 66"," B"," B"," 0002",
"uni0043"," 67"," C"," C"," 0003",
"uni0044"," 68"," D"," D"," 0004",
"uni0045"," 69"," E"," E"," 0005",
"uni0046"," 70"," F"," F"," 0006",
"uni0047"," 71"," G"," G"," 0007",
"uni0048"," 72"," H"," H"," 0008",
"uni0049"," 73"," I"," I"," 0009",
"uni004A"," 74"," J"," J"," 0010",
"uni004B"," 75"," K"," K"," 0011",
"uni004C"," 76"," L"," L"," 0012",
"uni004D"," 77"," M"," M"," 0013",
"uni004E"," 78"," N"," N"," 0014",
"uni004F"," 79"," O"," O"," 0015",
"uni0050"," 80"," P"," P"," 0016",
"uni0051"," 81"," Q"," Q"," 0017",
"uni0052"," 82"," R"," R"," 0018",
"uni0053"," 83"," S"," S"," 0019",
"uni0054"," 84"," T"," T"," 0020",
"uni0055"," 85"," U"," U"," 0021",
"uni0056"," 86"," V"," V"," 0022",
"uni0057"," 87"," W"," W"," 0023",
"uni0058"," 88"," X"," X"," 0024",
"uni0059"," 89"," Y"," Y"," 0025",
"uni005A"," 90"," Z"," Z"," 0026",
"uni0061"," 97"," a"," a"," 0027",
"uni0062"," 98"," b"," b"," 0028",
"uni0063"," 99"," c"," c"," 0029",
"uni0064"," 100"," d"," d"," 0030",
"uni0065"," 101"," e"," e"," 0031",
"uni0066"," 102"," f"," f"," 0032",
"uni0067"," 103"," g"," g"," 0033",
"uni0068"," 104"," h"," h"," 0034",
"uni0069"," 105"," i"," i"," 0035",
"uni006A"," 106"," j"," j"," 0036",
"uni006B"," 107"," k"," k"," 0037",
"uni006C"," 108"," l"," l"," 0038",
"uni006D"," 109"," m"," m"," 0039",
"uni006E"," 110"," n"," n"," 0040",
"uni006F"," 111"," o"," o"," 0041",
"uni0070"," 112"," p"," p"," 0042",
"uni0071"," 113"," q"," q"," 0043",
"uni0072"," 114"," r"," r"," 0044",
"uni0073"," 115"," s"," s"," 0045",
"uni0074"," 116"," t"," t"," 0046",
"uni0075"," 117"," u"," u"," 0047",
"uni0076"," 118"," v"," v"," 0048",
"uni0077"," 119"," w"," w"," 0049",
"uni0078"," 120"," x"," x"," 0050",
"uni0079"," 121"," y"," y"," 0051",
"uni007A"," 122"," z"," z"," 0052",
"uni00C1"," 193"," Aacute"," Á"," ",
"uni00C4"," 196"," Adieresis"," Ä"," ",
"uni010C"," 268"," Ccaron"," Č"," ",
"uni010E"," 270"," Dcaron"," Ď"," ",
"uni00C9"," 201"," Eacute"," É"," ",
"uni011A"," 282"," Ecaron"," Ě"," ",
"uni00CD"," 205"," Iacute"," Í"," ",
"uni0139"," 313"," Lacute"," Ĺ"," ",
